"PWSID","SYSTEM NAME","ACTIVITY CODE","CLIENT ID","SITE ID","PRIMARY FACILITY ID","SYSTEM TYPE","OWNER TYPE","POPULATION SERVED","NONTRANSIENT POPULATION SERVED","CONSECUTIVE INDICATOR","PRIMARY SELLER","REGULATED BY","PRIMARY SOURCE","PRIMARY SELLER STATE","VENDING PWS PERM BY RULE","SERVICE CONNECTIONS","COUNTY","DISTRICT","REGION"
"6430029","4J MOBILE HOMES C/O J POCHTAKO","INACTIVE","77075","269566","290455","COMMUNITY","INVESTOR","97","0","NOT CONSECUTIVE","","STATE","GROUND","","","50","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430824","ADESA MERCER","ACTIVE","205536","250460","258074","NONTRANSIENT NONCOMM","INVESTOR","225","225","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430981","ADVENTURE BOUND SHENANGO","ACTIVE","336287","465512","494746","TRANSIENT NONCOMM","INVESTOR","500","0","NOT CONSECUTIVE","","STATE","GROUND","","","250","Mercer","NORTH MEADVILLE","NORTHWEST"
"6431054","AMERICAN LEGION POST 220","ACTIVE","329869","528743","557558","TRANSIENT NONCOMM","INVESTOR","25",".","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6431061","AMERICAN LEGION POST 919","ACTIVE","146908","541158","560526","TRANSIENT NONCOMM","OTHER","25",".","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430069","AMSTERDAM ESTATES","INACTIVE","23960","450845","477492","COMMUNITY","INVESTOR","22","0","NOT CONSECUTIVE","","STATE","GROUND","","","13","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430038","ANDERSON MOBILE HOME PARK","INACTIVE","281458","257535","271520","COMMUNITY","INVESTOR","78","0","NOT CONSECUTIVE","","STATE","GROUND","","","48","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430059","AQUA PA LAKE LATONKA WTP","ACTIVE","309251","256731","270167","COMMUNITY","INVESTOR","1,400","0","NOT CONSECUTIVE","","STATE","GROUND","","","606","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430054","AQUA PA SHENANGO VALLEY WTP","ACTIVE","309251","262872","281819","COMMUNITY","INVESTOR","48,000","0","NOT CONSECUTIVE","","STATE","SURFACE","","","17,152","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430060","AVALON SPRINGS","INACTIVE","282283","256697","270079","COMMUNITY","MUNICIPALITY","400","0","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
