"PWSID","SYSTEM NAME","ACTIVITY","SYSTYPE","SAMPLE POINT ID","SAMPLE POINT AVAILABILITY","SAMPLE POINT NAME","TTHM MONITORING LOCATION","HAA5 MONITORING LOCATION","CLIENT ID","SITE ID","PRMRY_FAC_ID","POPULATION SERVED","PRIMARY SOURCE","DISTRICT","REGION","COUNTY","RTCR MONITORING LOCATION","SEASONAL START UP LOCATION"
"6430001","SCENIC MOBILE HOME PARK","A","COMMUNITY","701","ABANDONED","LOT 37","YES","YES","302782","244061","248782","50","GROUND","NORTH MEADVILLE","NORTHWEST","Mercer","YES",""
"6430001","SCENIC MOBILE HOME PARK","A","COMMUNITY","801","ABANDONED","LOT 45","","","302782","244061","248782","50","GROUND","NORTH MEADVILLE","NORTHWEST","Mercer","YES",""
"6430001","SCENIC MOBILE HOME PARK","A","COMMUNITY","802","ABANDONED","LOT 96","","","302782","244061","248782","50","GROUND","NORTH MEADVILLE","NORTHWEST","Mercer","YES",""
"6430001","SCENIC MOBILE HOME PARK","A","COMMUNITY","804","PERMANENT","PARK OFFICE SINK","YES","YES","302782","244061","248782","50","GROUND","NORTH MEADVILLE","NORTHWEST","Mercer","YES",""
"6430002","COUNTRY ESTATES","A","COMMUNITY","701","PERMANENT","LOT 102","","","287851","247520","480923","90","GROUND","NORTH MEADVILLE","NORTHWEST","Mercer","YES",""
"6430002","COUNTRY ESTATES","A","COMMUNITY","710","PERMANENT","LOT #1","YES","YES","287851","247520","480923","90","GROUND","NORTH MEADVILLE","NORTHWEST","Mercer","",""
"6430002","COUNTRY ESTATES","A","COMMUNITY","801","PERMANENT","LOT 142 KITCHEN TAP","","","287851","247520","480923","90","GROUND","NORTH MEADVILLE","NORTHWEST","Mercer","YES",""
"6430002","COUNTRY ESTATES","A","COMMUNITY","802","PERMANENT","LOT 235 KITCHEN TAP","","","287851","247520","480923","90","GROUND","NORTH MEADVILLE","NORTHWEST","Mercer","YES",""
"6430003","SUNNYVIEW MOBILE HOME PARK","A","COMMUNITY","701","PERMANENT","GARAGE KITCHEN SINK","YES","YES","341785","244063","248786","88","GROUND","NORTH MEADVILLE","NORTHWEST","Mercer","YES",""
"6430003","SUNNYVIEW MOBILE HOME PARK","A","COMMUNITY","740","PERMANENT","LOT 40 WREN ROAD","","","341785","244063","248786","88","GROUND","NORTH MEADVILLE","NORTHWEST","Mercer","YES",""
"6430003","SUNNYVIEW MOBILE HOME PARK","A","COMMUNITY","750","PERMANENT","LOT 50 WREN ROAD","","","341785","244063","248786","88","GROUND","NORTH MEADVILLE","NORTHWEST","Mercer","YES",""
"6430003","SUNNYVIEW MOBILE HOME PARK","A","COMMUNITY","780","ABANDONED","LOT 80 BLUEJAY ROAD","","","341785","244063","248786","88","GROUND","NORTH MEADVILLE","NORTHWEST","Mercer","",""
"6430003","SUNNYVIEW MOBILE HOME PARK","A","COMMUNITY","801","ABANDONED","LOT 59","","","341785","244063","248786","88","GROUND","NORTH MEADVILLE","NORTHWEST","Mercer","YES",""
"6430003","SUNNYVIEW MOBILE HOME PARK","A","COMMUNITY","802","ABANDONED","LOT 77","","","341785","244063","248786","88","GROUND","NORTH MEADVILLE","NORTHWEST","Mercer","YES",""
"6430010","JEFFERSON ESTATES MHP","A","COMMUNITY","701","PERMANENT","LOT #24","YES","YES","334750","263604","282846","57","GROUND","NORTH MEADVILLE","NORTHWEST","Mercer","YES",""
"6430010","JEFFERSON ESTATES MHP","A","COMMUNITY","818","PERMANENT","LOT #18","","","334750","263604","282846","57","GROUND","NORTH MEADVILLE","NORTHWEST","Mercer","YES",""
"6430010","JEFFERSON ESTATES MHP","A","COMMUNITY","823","ABANDONED","LOT #23","","","334750","263604","282846","57","GROUND","NORTH MEADVILLE","NORTHWEST","Mercer","YES",""
"6430010","JEFFERSON ESTATES MHP","A","COMMUNITY","834","ABANDONED","LOT #34","","","334750","263604","282846","57","GROUND","NORTH MEADVILLE","NORTHWEST","Mercer","YES",""
"6430010","JEFFERSON ESTATES MHP","A","COMMUNITY","835","ABANDONED","LOT #35","","","334750","263604","282846","57","GROUND","NORTH MEADVILLE","NORTHWEST","Mercer","",""
"6430014","GLEN LAKE ESTATES","A","COMMUNITY","701","PERMANENT","SEWAGE TREATMENT PLT","YES","YES","314053","244055","248773","94","GROUND","NORTH MEADVILLE","NORTHWEST","Mercer","YES",""
"6430014","GLEN LAKE ESTATES","A","COMMUNITY","801","ABANDONED","HYDRANT","","","314053","244055","248773","94","GROUND","NORTH MEADVILLE","NORTHWEST","Mercer","",""
"6430014","GLEN LAKE ESTATES","A","COMMUNITY","802","PERMANENT","HYDRANT EAST SIDE","","","314053","244055","248773","94","GROUND","NORTH MEADVILLE","NORTHWEST","Mercer","YES",""
"6430014","GLEN LAKE ESTATES","A","COMMUNITY","803","PERMANENT","LOT 1","","","314053","244055","248773","94","GROUND","NORTH MEADVILLE","NORTHWEST","Mercer","",""
"6430014","GLEN LAKE ESTATES","A","COMMUNITY","804","PERMANENT","LOT 41","","","314053","244055","248773","94","GROUND","NORTH MEADVILLE","NORTHWEST","Mercer","",""
"6430014","GLEN LAKE ESTATES","A","COMMUNITY","805","PERMANENT","LOT 14","","","314053","244055","248773","94","GROUND","NORTH MEADVILLE","NORTHWEST","Mercer","",""
"6430014","GLEN LAKE ESTATES","A","COMMUNITY","806","PERMANENT","LOT 48","","","314053","244055","248773","94","GROUND","NORTH MEADVILLE","NORTHWEST","Mercer","",""
"6430014","GLEN LAKE ESTATES","A","COMMUNITY","807","PERMANENT","LOT 8","","","314053","244055","248773","94","GROUND","NORTH MEADVILLE","NORTHWEST","Mercer","",""
"6430019","ROUTE 322 MOBILE HOME PARK","A","COMMUNITY","701","PERMANENT","LOT #267","YES","YES","372319","243938","248608","53","GROUND","NORTH MEADVILLE","NORTHWEST","Mercer","YES",""
"6430019","ROUTE 322 MOBILE HOME PARK","A","COMMUNITY","801","ABANDONED","LOT #261","","","372319","243938","248608","53","GROUND","NORTH MEADVILLE","NORTHWEST","Mercer","YES",""
"6430019","ROUTE 322 MOBILE HOME PARK","A","COMMUNITY","802","PERMANENT","LOT #206","","","372319","243938","248608","53","GROUND","NORTH MEADVILLE","NORTHWEST","Mercer","YES",""
"6430019","ROUTE 322 MOBILE HOME PARK","A","COMMUNITY","803","PERMANENT","LOT #236","","","372319","243938","248608","53","GROUND","NORTH MEADVILLE","NORTHWEST","Mercer","YES",""
"6430021","PENNWOOD ESTATES MHP","A","COMMUNITY","710","PERMANENT","LOT #1 PENNWOOD EST","YES","YES","345450","452841","480269","51","GROUND","NORTH MEADVILLE","NORTHWEST","Mercer","",""
"6430021","PENNWOOD ESTATES MHP","A","COMMUNITY","822","PERMANENT","LOT 22","","","345450","452841","480269","51","GROUND","NORTH MEADVILLE","NORTHWEST","Mercer","YES",""
"6430021","PENNWOOD ESTATES MHP","A","COMMUNITY","835","PERMANENT","LOT 35","","","345450","452841","480269","51","GROUND","NORTH MEADVILLE","NORTHWEST","Mercer","YES",""
"6430024","ST PAUL HOMES","A","COMMUNITY","701","PERMANENT","HERITAGE KITCHEN","YES","YES","123334","240815","244405","1,000","GROUND","NORTH MEADVILLE","NORTHWEST","Mercer","YES",""
"6430024","ST PAUL HOMES","A","COMMUNITY","702","PERMANENT","KEIFER KITCHEN","NO","NO","123334","240815","244405","1,000","GROUND","NORTH MEADVILLE","NORTHWEST","Mercer","YES",""
"6430024","ST PAUL HOMES","A","COMMUNITY","801","PERMANENT","19 EAST","NO","NO","123334","240815","244405","1,000","GROUND","NORTH MEADVILLE","NORTHWEST","Mercer","YES",""
"6430033","COUNTRYSIDE CONVALESCENT HOME","I","COMMUNITY","701","PERMANENT","KITCHEN SINK","YES","YES","80180","264199","283873","90","GROUND","NORTH MEADVILLE","NORTHWEST","Mercer","",""
"6430036","FREDONIA BORO","A","COMMUNITY","701","PERMANENT","STANDPIPE","YES","YES","34929","240873","244483","443","GROUND","NORTH MEADVILLE","NORTHWEST","Mercer","YES","NO"
"6430036","FREDONIA BORO","A","COMMUNITY","702","PERMANENT","BORO OFFICE","NO","NO","34929","240873","244483","443","GROUND","NORTH MEADVILLE","NORTHWEST","Mercer","YES","NO"
"6430036","FREDONIA BORO","A","COMMUNITY","801","PERMANENT","75 GRANT STREET","","","34929","240873","244483","443","GROUND","NORTH MEADVILLE","NORTHWEST","Mercer","YES","NO"
"6430036","FREDONIA BORO","A","COMMUNITY","802","PERMANENT","534 DELAWARE","","","34929","240873","244483","443","GROUND","NORTH MEADVILLE","NORTHWEST","Mercer","YES","NO"
"6430036","FREDONIA BORO","A","COMMUNITY","803","PERMANENT","84 CONSTITUTION","","","34929","240873","244483","443","GROUND","NORTH MEADVILLE","NORTHWEST","Mercer","YES","NO"
"6430036","FREDONIA BORO","A","COMMUNITY","804","PERMANENT","2 1ST STREET","","","34929","240873","244483","443","GROUND","NORTH MEADVILLE","NORTHWEST","Mercer","YES","NO"
"6430036","FREDONIA BORO","A","COMMUNITY","805","PERMANENT","419 DELAWARE","","","34929","240873","244483","443","GROUND","NORTH MEADVILLE","NORTHWEST","Mercer","YES","NO"
"6430037","GREENVILLE MUNI WATER AUTH","A","COMMUNITY","706","PERMANENT","THIEL THEATER","YES","YES","25179","262460","281183","8,600","SURFACE","NORTH MEADVILLE","NORTHWEST","Mercer","YES",""
"6430037","GREENVILLE MUNI WATER AUTH","A","COMMUNITY","712","PERMANENT","HYDRANTFAIRWAYLNSTON","YES","YES","25179","262460","281183","8,600","SURFACE","NORTH MEADVILLE","NORTHWEST","Mercer","YES",""
"6430037","GREENVILLE MUNI WATER AUTH","A","COMMUNITY","718","ABANDONED","17 STONYBROOK","","","25179","262460","281183","8,600","SURFACE","NORTH MEADVILLE","NORTHWEST","Mercer","YES",""
"6430037","GREENVILLE MUNI WATER AUTH","A","COMMUNITY","802","PERMANENT","44 CLINTON","","","25179","262460","281183","8,600","SURFACE","NORTH MEADVILLE","NORTHWEST","Mercer","YES",""
"6430037","GREENVILLE MUNI WATER AUTH","A","COMMUNITY","803","PERMANENT","9 DONATION ROAD","","","25179","262460","281183","8,600","SURFACE","NORTH MEADVILLE","NORTHWEST","Mercer","YES",""
