Sample Location,Contaminant ID,Analysis Result,MCL In Effect,Sample Date,Sample Type,Laboratory ID,Analysis Method,Analysis Date,Sample Received Date,SPLIT_PAGES,PWSID,SYSTEM NAME,MAIN_PAGE,TOP_MARGIN,SYSNAME_PAGE
101,CHLORINE,1.95,.,01/01/2015,ENTRY POINT,MCAFOOSE PLUMBING & CONSTRUCTI,"COLORMTRC, DPD (CL/NH2CL)",01/01/2015,02/09/2015,1,6430001, SCENIC MOBILE HOME PARK,1,70,1
101,CHLORINE,1.43,.,01/02/2015,ENTRY POINT,MCAFOOSE PLUMBING & CONSTRUCTI,"COLORMTRC, DPD (CL/NH2CL)",01/02/2015,02/09/2015,1,6430001, SCENIC MOBILE HOME PARK,1,70,1
101,CHLORINE,1.06,.,01/03/2015,ENTRY POINT,MCAFOOSE PLUMBING & CONSTRUCTI,"COLORMTRC, DPD (CL/NH2CL)",01/03/2015,02/09/2015,1,6430001, SCENIC MOBILE HOME PARK,1,70,1
101,CHLORINE,0.88,.,01/04/2015,ENTRY POINT,MCAFOOSE PLUMBING & CONSTRUCTI,"COLORMTRC, DPD (CL/NH2CL)",01/04/2015,02/09/2015,1,6430001, SCENIC MOBILE HOME PARK,1,70,1
101,CHLORINE,0.9,.,01/05/2015,ENTRY POINT,MCAFOOSE PLUMBING & CONSTRUCTI,"COLORMTRC, DPD (CL/NH2CL)",01/05/2015,02/09/2015,1,6430001, SCENIC MOBILE HOME PARK,1,70,1
101,CHLORINE,0.7,.,01/06/2015,ENTRY POINT,MCAFOOSE PLUMBING & CONSTRUCTI,"COLORMTRC, DPD (CL/NH2CL)",01/06/2015,02/09/2015,1,6430001, SCENIC MOBILE HOME PARK,1,70,1
101,CHLORINE,0.66,.,01/07/2015,ENTRY POINT,MCAFOOSE PLUMBING & CONSTRUCTI,"COLORMTRC, DPD (CL/NH2CL)",01/07/2015,02/09/2015,1,6430001, SCENIC MOBILE HOME PARK,1,70,1
101,CHLORINE,1.11,.,01/08/2015,ENTRY POINT,MCAFOOSE PLUMBING & CONSTRUCTI,"COLORMTRC, DPD (CL/NH2CL)",01/08/2015,02/09/2015,1,6430001, SCENIC MOBILE HOME PARK,1,70,1
101,CHLORINE,1.2,.,01/09/2015,ENTRY POINT,MCAFOOSE PLUMBING & CONSTRUCTI,"COLORMTRC, DPD (CL/NH2CL)",01/09/2015,02/09/2015,1,6430001, SCENIC MOBILE HOME PARK,1,70,1
101,CHLORINE,1.34,.,01/10/2015,ENTRY POINT,MCAFOOSE PLUMBING & CONSTRUCTI,"COLORMTRC, DPD (CL/NH2CL)",01/10/2015,02/09/2015,1,6430001, SCENIC MOBILE HOME PARK,1,70,1
101,CHLORINE,0.94,.,01/11/2015,ENTRY POINT,MCAFOOSE PLUMBING & CONSTRUCTI,"COLORMTRC, DPD (CL/NH2CL)",01/11/2015,02/09/2015,1,6430001, SCENIC MOBILE HOME PARK,1,70,1
101,CHLORINE,0.77,.,01/12/2015,ENTRY POINT,MCAFOOSE PLUMBING & CONSTRUCTI,"COLORMTRC, DPD (CL/NH2CL)",01/12/2015,02/09/2015,1,6430001, SCENIC MOBILE HOME PARK,1,70,1
101,CHLORINE,0.54,.,01/13/2015,ENTRY POINT,MCAFOOSE PLUMBING & CONSTRUCTI,"COLORMTRC, DPD (CL/NH2CL)",01/13/2015,02/09/2015,1,6430001, SCENIC MOBILE HOME PARK,1,70,1
